City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['1664090'],['160050008001'],[10.166666666666668],[2543.9999986157295],[1028.9999994400887],[1190.9999993519393],[1024.999999442265],[0.7875202678565361],[0.8608957557103947],[54.53684835198514],[-99999.0],[20.0],[19.0],[10.0],[1.0]
['1664090'],['160050009001'],[12.000000000000002],[1967.0000000000005],[859.0000000000002],[854.0000000000002],[794.0000000000002],[0.7534006775654566],[0.5859735132446591],[247.329839924983],[-99999.0],[13.0],[17.0],[20.0],[1.0]
['1664090'],['160050010001'],[4.499999999999999],[1099.0],[650.0],[560.0],[501.0],[0.3371216806087932],[0.22954317242001837],[49.940010487380185],[-99999.0],[3.0],[4.0],[9.0],[1.0]
['1664090'],['160050010002'],[7.333333333333333],[1233.0000000000002],[381.00000000000006],[424.0000000000001],[395.0000000000001],[0.33333333333333337],[0.23585901320664882],[144.35912000238173],[-99999.0],[4.0],[4.0],[17.0],[1.0]
['1664090'],['160050010003'],[11.166666666666668],[894.9999999999999],[343.99999999999994],[417.99999999999994],[295.99999999999994],[0.7308404477561163],[0.6334948761130446],[148.08366843298097],[-99999.0],[14.0],[17.0],[17.0],[1.0]
['1664090'],['160050011011'],[6.333333333333333],[1641.9490751175979],[729.7551444967102],[558.1758099275432],[519.0817843295051],[0.7439920763086298],[0.3255865337788673],[30.47360770515357],[-99999.0],[5.0],[17.0],[7.0],[1.0]
['1664090'],['160050011012'],[7.499999999999999],[1698.9999999999989],[819.9999999999994],[713.9999999999995],[594.9999999999997],[0.5972965828041311],[0.5740867554402093],[55.33094172960895],[-99999.0],[12.0],[11.0],[10.0],[1.0]
['1614680'],['160050011013'],[7.833333333333333],[129.55823887251734],[68.37468475528668],[53.28509915411996],[48.451716266246244],[0.532960340799514],[0.7096194482636454],[53.22257238455778],[-99999.0],[16.0],[9.0],[10.0],[1.0]
['1664090'],['160050011013'],[7.833333333333333],[444.75074833410304],[234.71832032191062],[182.91841514742],[166.32625802121598],[0.532960340799514],[0.7096194482636454],[53.22257238455778],[-99999.0],[16.0],[9.0],[10.0],[1.0]
['1664090'],['160050011014'],[8.333333333333334],[1279.9999982207783],[550.9999992341006],[377.9999994745736],[377.9999994745736],[0.7602130207431889],[0.12426495742686199],[98.81977173453977],[-99999.0],[2.0],[18.0],[14.0],[1.0]
