NAME,NAMELSAD,state_abbr,city_id,city_state_name,population,house_units,miles_driven_pC,agg_vehi_consum_pC,gasoline_consume_pC,diesel_consume_pC,agg_vehi_emitGHG_pC,agg_nonvehi_emitGHG_pC,agg_combined_emitGHG_pC,driveGasoline_emitGHG_pC,driveDiesel_emitGHG_pC,wlk_NatWalkInd_avg,wlk_PeopleCounted,wlk_Workers,wlk_CountHU,wlk_HH,wlk_D2A_EPHHM_avg,wlk_D2B_E8MIXA_avg,wlk_D3B_avg,wlk_D4A_avg,wlk_D2A_Ranked_avg,wlk_D2B_Ranked_avg,wlk_D3B_Ranked_avg,wlk_D4A_Ranked_avg
Neihart,Neihart town,MT,3053200,"Neihart town, MT",3.844159703464255,111.64759774,44023.65384615384,2290.346153846154,2037.1153846153843,253.23076923076923,25.196348233661546,22.703766701544684,47.90011493520623,21.99165794861539,3.204690285046153,3.666666666666667,3.844159703464255,1.180310273667566,2.918170427990253,1.385723387593137,0.4446965172719541,0.5623028411034822,0.2976593625122779,,8.0,10.000000000000002,1.0,1.0
Chester,Chester town,MT,3014200,"Chester town, MT",0.7538008746292454,368.97986566,1983.5766666666664,105.82555555555555,91.80444444444444,14.02111111111111,1.1685141261217775,4.857481837087363,6.025995963209141,0.991073925233778,0.177440200888,5.336041105597707,0.7538008746292454,0.1993886110442482,0.3720888187022227,0.2936885904949932,0.5632124871214376,0.737984522444894,0.7673647096607313,,12.219932261549928,15.79631437203631,1.0,1.0
Terry,Terry town,MT,3073675,"Terry town, MT",0.6016904758335725,292.814264447999,1908.588028169014,99.24530516431923,87.7605633802817,11.484741784037558,1.092760146430986,2.982267394691298,4.075027541122284,0.947418249261972,0.145341897169014,6.166666666666666,0.6016904758335725,0.1309192391530575,0.3125024304441133,0.2421109217214077,0.6046982585071661,0.9498226863242596,0.215042936867519,,13.0,20.0,1.0,1.0
Whitehall,Whitehall town,MT,3079900,"Whitehall town, MT",305.50660642355695,477.38908248,3383.695464362851,177.7149028077754,146.83585313174947,30.87904967602592,1.9759459936190067,5.601775559101851,7.577721552720858,1.585164925390929,0.3907810682280777,8.706243839518145,305.50660642355695,95.69616843006938,138.54230124407093,128.11067767147208,0.6645299985774561,0.8755400029737046,28.602254499960573,,14.89092290846991,19.995989288722004,7.675275419958479,1.0
Fromberg,Fromberg town,MT,3029575,"Fromberg town, MT",3.1814359652119863,196.032036367999,3000.691943127962,155.23222748815164,134.51895734597156,20.713270142180093,1.714328929317536,4.906472880457844,6.62080180977538,1.45219800503128,0.2621309242862559,4.166666666666667,3.1814359652119863,1.0894008002089528,1.455747971960636,1.282215101130891,0.3897908042532437,0.6714447082503516,0.6929579926965959,,7.0,14.0,1.0,1.0
Big Sandy,Big Sandy town,MT,3006250,"Big Sandy town, MT",48.34508880435235,271.635307348,3523.7615131578946,185.6825657894737,160.07565789473685,25.60690789473684,2.052156071001316,3.730237462043488,5.782393533044804,1.7280951000157898,0.3240609709855263,7.831246108993044,48.34508880435235,16.96767229112267,25.63130362002233,20.06199241195432,0.6243384850143262,0.8016526310740499,18.73359522611433,,13.9973164258482,18.9946328516964,5.997763688206832,1.0
Polson,Polson city,MT,3058750,"Polson city, MT",1770.8771987339828,1643.58670181799,4645.442019683354,242.56953359007275,215.06268720581943,27.506846384253315,2.669812107555499,2.9988292639265515,5.6686413714820505,2.321707003078477,0.3481051044770218,8.852098135281155,1770.8771987339828,663.4211878537283,862.0601129376801,738.49652613549,0.6915567595349158,0.5909248040957796,81.2159510969212,,15.453377408627018,11.56166710119034,12.048772150934788,1.0
Harlowton,Harlowton city,MT,3034450,"Harlowton city, MT",0.9677809150671396,424.699248545,2366.557939914163,125.4892703862661,108.81115879828326,16.678111587982833,1.3857348511313303,5.137992583902155,6.523727435033486,1.1746697331708156,0.211065117960515,6.403700685848975,0.9677809150671396,0.2683820408424414,0.5455608300325652,0.3724043682113312,0.7111489372844454,0.7771290991246754,0.2930865797041706,,16.422204115093855,18.0,1.0,1.0
Browning,Browning town,MT,3010375,"Browning town, MT",593.068287094252,392.346522491,1970.305469556244,103.07223942208464,92.90815273477811,10.1640866873065,1.1316177172053663,3.4342729222071773,4.565890639412544,1.002988996603509,0.1286287206018575,9.39327555422189,593.068287094252,128.43144101307405,251.88898796250768,229.4914789436706,0.5673557959549094,0.3661350515791925,195.81722148910333,,12.040800867094188,4.983859440278469,18.66749650897935,1.0
Cut Bank,Cut Bank city,MT,3018775,"Cut Bank city, MT",1185.8210789107409,1010.38397292,1346.145339124624,71.19579017707986,62.51854326762446,8.677246909455397,0.784730724519078,6.250779370236391,7.035510094755469,0.6749182836527898,0.109812440866288,9.93917708128289,1185.8210789107409,575.9408175816817,621.4841001346202,522.4827755629875,0.717077972396777,0.7162261991618495,93.93188422406205,,15.632288044956969,14.891797434525836,13.555488504107268,1.0
